asn_name,country,asn_num,count
QF-HBKU-ASN,QA,34945,102
"DEDIPATH-LLC - DediPath",US,35913,102
"HKBN-AS-AP Hong Kong Broadband Network Ltd.",HK,9269,102
SPRINT-SDC,PL,197226,101
"Telecel S.A.",PY,23201,100
"CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd.",CN,45102,100
EPINATURA,UA,207656,98
"BT-UK-AS BTnet UK Regional network",GB,2856,97
"CNCGROUP-SH China Unicom Shanghai network",CN,17621,96
HOSTSLICK-GERMANY,NL,208046,94
"LEASEWEB-NL-AMS-01 Netherlands",NL,60781,94
"CNSERVERS - CNSERVERS LLC",US,40065,93
"TATACOMM-AS TATA Communications formerly VSNL is Leading ISP",IN,4755,92
"ALGAR TELECOM S/A",BR,16735,91
"CHINATELECOM-JIANGSU-ZHENJIANG-IDC Jiangsu ZhenJiang IDC network",CN,138950,90
"NJIIX-AS-1 - NEW JERSEY INTERNATIONAL INTERNET EXCHANGE LLC",US,19318,89
"CABLELITE-AS-AP Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA",IN,24309,89
"CHINANET-SICHUAN-CHENGDU-MAN CHINANET Sichuan province Chengdu MAN network",CN,134762,88
TNF-AS,NL,33915,88
TEKNIKBYRAN,SE,51815,87
"Telefonica Data S.A.",BR,10429,86
"NAMECHEAP-NET - Namecheap, Inc.",US,22612,86
"GNJ-AS-KR DAOU TECHNOLOGY",KR,45996,85
"NETDYNAMICS - Oracle Corporation",US,7160,85
"MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt.",HU,5483,84
"CHINANET-IDC-SN China Telecom (Group)",CN,4835,83
RTCOMM-AS,RU,8342,83
"WTT-AS-AP WTT HK Limited",HK,9381,83
"VTDC-AS-VN Vietel - CHT Compamy Ltd",VN,38731,82
"FRONTIER-FRTR - Frontier Communications of America, Inc.",US,5650,82
"GXRTVNET GUANGXI RADIO & TELEVISION INFORMATION NETWORK CO.,LTD.",CN,63581,82
"CLARO S.A.",BR,4230,81
***************************************,RO,42397,81
"UNICOM-CN China Unicom IP network",CN,133119,80
AS42926,TR,205399,80
COMHEM-SWEDEN,SE,39651,80
"GIGABIT-MY Gigabit Hosting Sdn Bhd",MY,55720,80
"Brasil Telecom S/A - Filial Distrito Federal",BR,8167,80
"CHARTER-NET-HKY-NC - Charter Communications",US,20115,79
"POWERVIS-AS-KR LG POWERCOMM",KR,17858,76
"CANTV Servicios, Venezuela",VE,8048,76
"LVLT-3549 - Level 3 Communications, Inc.",US,3549,74
SKB-ENTERPRISE,NL,64425,74
"AMAZON-AES - Amazon.com, Inc.",US,14618,73
"TOT-NET TOT Public Company Limited",TH,23969,73
TPNET,PL,5617,72
HS,AE,60117,72
"ICONPLN-ID-AP PT Indonesia Comnets Plus",ID,9341,72
"BIZNET-AS-AP BIZNET NETWORKS",ID,17451,70
TETANEUTRAL-NET-AS,FR,197422,70
"HKKFGL-AS-AP HK Kwaifong Group Limited",HK,133115,68
ACCELERATED-IT,DE,31400,65
"BCPL-SG BGPNET Global ASN",SG,64050,65
"ASN-QUADRANET-GLOBAL - QuadraNet, Inc",US,8100,65
VERSATEL,DE,8881,65
"Telconet S.A",EC,27947,64
"CNGI-CD-IX-AS-AP CERNET2 IX at University of Electronic Science and Technology of China",CN,24355,63
"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd",IN,18209,62
"CMNET-ZHEJIANG-AP China Mobile communications corporation",CN,56041,62
"CHINANET-SICHUAN-CHENGDU-MAN CHINANET Sichuan province Chengdu MAN network",CN,134768,61
"ONEANDONE-AS Brauerstrasse 48",DE,8560,61
"IPG-AS-AP Philippine Long Distance Telephone Company",PH,9299,61
INFORMTECH-AS,RU,204718,60
"GVM Aleea Diham 5, Bl.M5, Sc.A, Ap.46",RO,34744,60
"CHINANET-SCIDC-AS-AP CHINANET SiChuan Telecom Internet Data Center",CN,38283,60
"Administracion Nacional de Telecomunicaciones",UY,6057,60
"Telemar Norte Leste S.A.",BR,7738,60
"COPEL Telecomunicações S.A.",BR,14868,59
"CT-HUNAN-CHANGSHA-IDC No.293,Wanbao Avenue",CN,63835,59
"CMNET-GUANGDONG-AP China Mobile communications corporation",CN,56040,58
"CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited",CN,132525,55
"HATHWAY-NET-AP Hathway IP Over Cable Internet",IN,17488,55
"JASTEL-NETWORK-TH-AP JasTel Network International Gateway",TH,45629,55
IAM-AS,MA,6713,55
HETZNER,ZA,37153,54
"ENTEL CHILE S.A.",CL,6471,54
"SOFTLAYER - SoftLayer Technologies Inc.",US,36351,53
ASN-BOUYGTEL-ISP,FR,5410,53
"SAKURA-B SAKURA Internet Inc.",JP,9370,53
"SCRR-10796 - Time Warner Cable Internet LLC",US,10796,52
"CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT",TH,131090,52
"TPG-INTERNET-AP TPG Telecom Limited",AU,7545,52
AS-COMPLETEL,FR,12670,51
"LINKNET-ID-AP Linknet ASN",ID,9905,51
"Telefónica Celular S.A",HN,52262,50
"SAKURA-A SAKURA Internet Inc.",JP,7684,50
O2-CZECH-REPUBLIC,CZ,5610,49
"AS20150 - ServerCrate",US,20150,48
MEO-RESIDENCIAL,PT,3243,48
"SIFY-AS-IN Sify Limited",IN,9583,48
"NSS S.A.",AR,16814,46
"LINTASARTA-AS-AP Network Access Provider and Internet Service Provider",ID,4800,46
DHOSTING-NET,DE,44716,45
"CHINATELECOM-HUBEI-IDC CHINANET Hubei province network",CN,58563,45
BRM,UZ,8193,45
"ASN-TELSTRA Telstra Corporation Ltd",AU,1221,43
SUPERSERVERSDATACENTER,RU,50113,43
"CABLEVISION S.A.",AR,10318,42
NOS_COMUNICACOES,PT,2860,42
"CNNIC-GIANT ZhengZhou GIANT Computer Network Technology Co., Ltd",CN,37943,42
ZABEC,SI,60435,42
"MAXIS-AS1-AP Binariang Berhad",MY,9534,42
UNI2-AS,ES,12479,41
VOLIA-AS,UA,25229,41
"SMILESERV-AS-KR SMILESERV",KR,38700,41
"CEPATNET-AS-ID PT Mora Telematika Indonesia",ID,131111,40
"XJKJ Beijing Xiaoju Science and Technology Co., Ltd.",CN,63646,40
"CAT-AP The Communication Authoity of Thailand, CAT",TH,9931,40
"CNCGROUP-SZ China Unicom Shenzen network",CN,17623,39
MSKHOST,RU,207319,39
"TE-AS TE-AS",EG,8452,39
ER-TELECOM-AS,RU,12768,38
"Gtd Internet S.A.",CL,14259,38
"Red de Interconexion Universitaria",AR,4270,38
"SBN-AWN-AS-02-AP SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX",TH,45458,38
"CTM-MO Companhia de Telecomunicacoes de Macau SARL",MO,4609,38
